city	id	owner	state	station_info	station_name	subchannels	website	source	collection_date
 Chicago		 Ion Media Networks	IL	 Digital Full-Power - 200 kW	WCPX	 38.1 Ion, 38.2 Qubo, 38.3 Ion Life, 38.4 Ion Shop, 38.5 QVC, 38.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Chicago	" ""Estrella TV Chicago"""	 Liberman Broadcasting	IL	 Digital Low-Power - 6 kW	WESV-LD	 40.1 WESV/Estrella TV		stationindex	2018-08-02 14:55:24.612585
 Chicago		 NBC Universal	IL	 Digital Full-Power - 467 kW	WSNS		http://www.telemundochicago.com/	stationindex	2018-08-02 14:55:24.612585
 Chicago	" ""The U Too"""	 Weigel Broadcasting	IL	 Digital Class-A - 15 kW	WMEU-CD	 48.1 U Too, 48.2 Touchvision		stationindex	2018-08-02 14:55:24.612585
 Gary	" ""CW 50"""	 Fox Television Stations	IN	 Digital Full-Power - 1000 kW	WPWR	 50.1 CW/MyNetworkTV, 50.2 Movies!, 50.3 Light TV, 50.4 Buzzr	http://www.fox32chicago.com/cw50chicago	stationindex	2018-08-02 14:55:24.612585
 Gary		 Northwest Indiana Public Broadcasting	IN	 Digital Educational Full-Power - 300 kW	WYIN			stationindex	2018-08-02 14:55:24.612585
 Aurora	" ""Unimas 60"""	 Univision Communications	IL	 Digital Full-Power - 172 kW	WXFT	 60.1 Unimas		stationindex	2018-08-02 14:55:24.612585
 Hammond		 Jovon Broadcasting	IN	 Digital Full-Power - 50 kW	WJYS		http://www.wjystv62.net/	stationindex	2018-08-02 14:55:24.612585
 Joliet		 Univision Communications	IL	 Digital Full-Power - 600 kW	WGBO	 66.1 Univision, 66.2 GetTV, 66.3 Grit TV		stationindex	2018-08-02 14:55:24.612585
 Wilmington	" ""Me TV"""	 PMCM TV	DE	 Digital Full-Power - 9.36 kW	KJWP	 2.1 Me TV, 2.2 Grit, 2.3 Escape, 2.4 Justice Network	http://kjwp2.com/	stationindex	2018-08-02 14:55:24.612585
 Philadelphia	" ""CBS 3"""	 CBS Corporation	PA	 Digital Full-Power - 770 kW	KYW		http://philadelphia.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Atlantic City		 Western Pacific Broadcast	NJ	 Digital Full-Power - 10 kW	WACP	 4.1 WACP		stationindex	2018-08-02 14:55:24.612585
